@relation 'imputed_result'
@attribute 'pclass' {'1','2-3'}
@attribute 'sex' {'female','male'}
@attribute 'age' numeric
@attribute 'sibsp' numeric
@attribute 'parch' numeric
@attribute 'fare' numeric
@attribute 'embarked' {'C','Q','S'}
@attribute 'class' numeric
@data
"1","female",29,0,0,211.3375,"S",1
"1","male",0.9167,1,2,151.55,"S",1
"1","female",2,1,2,151.55,"S",0
"1","male",30,1,2,151.55,"S",0
"1","female",25,1,2,151.55,"S",0
"1","male",48,0,0,26.55,"S",1
"1","female",63,1,0,77.9583,"S",1
"1","male",39,0,0,0,"S",0
"1","female",53,2,0,51.4792,"S",1
"1","male",71,0,0,49.5042,"C",0
"1","male",47,1,0,227.525,"C",0
"1","female",18,1,0,227.525,"C",1
"1","female",24,0,0,69.3,"C",1
"1","female",26,0,0,78.85,"S",1
"1","male",80,0,0,30,"S",1
"1","male",45.1097776643832,0,0,25.925,"S",0
"1","male",24,0,1,247.5208,"C",0
"1","female",50,0,1,247.5208,"C",1
"1","female",32,0,0,76.2917,"C",1
"1","male",36,0,0,75.2417,"C",0
"1","male",37,1,1,52.5542,"S",1
"1","female",47,1,1,52.5542,"S",1
"1","male",26,0,0,30,"C",1
"1","female",42,0,0,227.525,"C",1
"1","female",29,0,0,221.7792,"S",1
"1","male",25,0,0,26,"C",0
"1","male",25,1,0,91.0792,"C",1
"1","female",19,1,0,91.0792,"C",1
"1","female",35,0,0,135.6333,"S",1
"1","male",28,0,0,26.55,"S",1
"1","male",45,0,0,35.5,"S",0
"1","male",40,0,0,31,"C",1
"1","female",30,0,0,164.8667,"S",1
"1","female",58,0,0,26.55,"S",1
"1","male",42,0,0,26.55,"S",0
"1","female",45,0,0,262.375,"C",1
"1","female",22,0,1,55,"S",1
"1","male",41.0902140085162,0,0,26.55,"S",1
"1","male",41,0,0,30.5,"S",0
"1","male",48,0,0,50.4958,"C",0
"1","male",44.9837636308163,0,0,39.6,"C",0
"1","female",44,0,0,27.7208,"C",1
"1","female",59,2,0,51.4792,"S",1
"1","female",60,0,0,76.2917,"C",1
"1","female",41,0,0,134.5,"C",1
"1","male",45,0,0,26.55,"S",0
"1","male",45.6821798312095,0,0,31,"S",0
"1","male",42,0,0,26.2875,"S",1
"1","female",53,0,0,27.4458,"C",1
"1","male",36,0,1,512.3292,"C",1
"1","female",58,0,1,512.3292,"C",1
"1","male",33,0,0,5,"S",0
"1","male",28,0,0,47.1,"S",0
"1","male",17,0,0,47.1,"S",0
"1","male",11,1,2,120,"S",1
"1","female",14,1,2,120,"S",1
"1","male",36,1,2,120,"S",1
"1","female",36,1,2,120,"S",1
"1","male",49,0,0,26,"S",0
"1","female",40.5341744747404,0,0,27.7208,"C",1
"1","male",36,1,0,78.85,"S",0
"1","female",76,1,0,78.85,"S",1
"1","male",46,1,0,61.175,"S",0
"1","female",47,1,0,61.175,"S",1
"1","male",27,1,0,53.1,"S",1
"1","female",33,1,0,53.1,"S",1
"1","female",36,0,0,262.375,"C",1
"1","female",30,0,0,86.5,"S",1
"1","male",45,0,0,29.7,"C",1
"1","female",31.8023607430857,0,1,55,"S",1
"1","male",41.6349505131002,0,0,0,"S",0
"1","male",27,1,0,136.7792,"C",0
"1","female",26,1,0,136.7792,"C",1
"1","female",22,0,0,151.55,"S",1
"1","male",41.2772555853171,0,0,52,"S",0
"1","male",47,0,0,25.5875,"S",0
"1","female",39,1,1,83.1583,"C",1
"1","male",37,1,1,83.1583,"C",0
"1","female",64,0,2,83.1583,"C",1
"1","female",55,2,0,25.7,"S",1
"1","male",45.9509540244076,0,0,26.55,"S",0
"1","male",70,1,1,71,"S",0
"1","female",36,0,2,71,"S",1
"1","female",64,1,1,26.55,"S",1
"1","male",39,1,0,71.2833,"C",0
"1","female",38,1,0,71.2833,"C",1
"1","male",51,0,0,26.55,"S",1
"1","male",27,0,0,30.5,"S",1
"1","female",33,0,0,151.55,"S",1
"1","male",31,1,0,52,"S",0
"1","female",27,1,2,52,"S",1
"1","male",31,1,0,57,"S",1
"1","female",17,1,0,57,"S",1
"1","male",53,1,1,81.8583,"S",1
"1","male",4,0,2,81.8583,"S",1
"1","female",54,1,1,81.8583,"S",1
"1","male",50,1,0,106.425,"C",0
"1","female",27,1,1,247.5208,"C",1
"1","female",48,1,0,106.425,"C",1
"1","female",48,1,0,39.6,"C",1
"1","male",49,1,0,56.9292,"C",1
"1","male",39,0,0,29.7,"C",0
"1","female",23,0,1,83.1583,"C",1
"1","female",38,0,0,227.525,"C",1
"1","female",54,1,0,78.2667,"C",1
"1","female",36,0,0,31.6792,"C",0
"1","male",42.8366677374814,0,0,221.7792,"S",0
"1","female",35.7371657950191,0,0,31.6833,"S",1
"1","female",37.54022094352,0,0,110.8833,"C",1
"1","male",36,0,0,26.3875,"S",1
"1","male",30,0,0,27.75,"C",0
"1","female",24,3,2,263,"S",1
"1","female",28,3,2,263,"S",1
"1","female",23,3,2,263,"S",1
"1","male",19,3,2,263,"S",0
"1","male",64,1,4,263,"S",0
"1","female",60,1,4,263,"S",1
"1","female",30,0,0,56.9292,"C",1
"1","male",45.9509540244076,0,0,26.55,"S",0
"1","male",50,2,0,133.65,"S",1
"1","male",43,1,0,27.7208,"C",1
"1","female",35.7182028522645,1,0,133.65,"S",1
"1","female",22,0,2,49.5,"C",1
"1","male",60,1,1,79.2,"C",1
"1","female",48,1,1,79.2,"C",1
"1","male",41.6349505131002,0,0,0,"S",0
"1","male",37,1,0,53.1,"S",0
"1","female",35,1,0,53.1,"S",1
"1","male",47,0,0,38.5,"S",0
"1","female",35,0,0,211.5,"C",1
"1","female",22,0,1,59.4,"C",1
"1","female",45,0,1,59.4,"C",1
"1","male",24,0,0,79.2,"C",0
"1","male",49,1,0,89.1042,"C",1
"1","female",35.9514314951935,1,0,89.1042,"C",1
"1","male",71,0,0,34.6542,"C",0
"1","male",53,0,0,28.5,"C",1
"1","female",19,0,0,30,"S",1
"1","male",38,0,1,153.4625,"S",0
"1","female",58,0,1,153.4625,"S",1
"1","male",23,0,1,63.3583,"C",1
"1","female",45,0,1,63.3583,"C",1
"1","male",46,0,0,79.2,"C",0
"1","male",25,1,0,55.4417,"C",1
"1","female",25,1,0,55.4417,"C",1
"1","male",48,1,0,76.7292,"C",1
"1","female",49,1,0,76.7292,"C",1
"1","male",43.0395439716704,0,0,42.4,"S",0
"1","male",45,1,0,83.475,"S",0
"1","female",35,1,0,83.475,"S",1
"1","male",40,0,0,0,"S",0
"1","male",27,0,0,76.7292,"C",1
"1","male",44.4739962904801,0,0,30,"S",1
"1","female",24,0,0,83.1583,"C",1
"1","male",55,1,1,93.5,"S",0
"1","female",52,1,1,93.5,"S",1
"1","male",42,0,0,42.5,"S",0
"1","male",41.7648250003981,0,0,51.8625,"S",0
"1","male",55,0,0,50,"S",0
"1","female",16,0,1,57.9792,"C",1
"1","female",44,0,1,57.9792,"C",1
"1","female",51,1,0,77.9583,"S",1
"1","male",42,1,0,52,"S",0
"1","female",35,1,0,52,"S",1
"1","male",35,0,0,26.55,"C",1
"1","male",38,1,0,90,"S",1
"1","male",44.9390351117804,0,0,30.6958,"C",0
"1","female",35,1,0,90,"S",1
"1","female",38,0,0,80,"C",1
"1","female",50,0,0,28.7125,"C",0
"1","male",49,0,0,0,"S",1
"1","male",46,0,0,26,"S",0
"1","male",50,0,0,26,"S",0
"1","male",32.5,0,0,211.5,"C",0
"1","male",58,0,0,29.7,"C",0
"1","male",41,1,0,51.8625,"S",0
"1","female",37.4374909517794,1,0,51.8625,"S",1
"1","male",42,1,0,52.5542,"S",1
"1","female",45,1,0,52.5542,"S",1
"1","male",45.9509540244076,0,0,26.55,"S",0
"1","female",39,0,0,211.3375,"S",1
"1","female",49,0,0,25.9292,"S",1
"1","female",30,0,0,106.425,"C",1
"1","male",35,0,0,512.3292,"C",1
"1","male",41.1596518948236,0,0,27.7208,"C",0
"1","male",42,0,0,26.55,"S",0
"1","female",55,0,0,27.7208,"C",1
"1","female",16,0,1,39.4,"S",1
"1","female",51,0,1,39.4,"S",1
"1","male",29,0,0,30,"S",0
"1","female",21,0,0,77.9583,"S",1
"1","male",30,0,0,45.5,"S",0
"1","female",58,0,0,146.5208,"C",1
"1","female",15,0,1,211.3375,"S",1
"1","male",30,0,0,26,"S",0
"1","female",16,0,0,86.5,"S",1
"1","male",39.4834087577704,0,0,29.7,"C",1
"1","male",19,1,0,53.1,"S",0
"1","female",18,1,0,53.1,"S",1
"1","female",24,0,0,49.5042,"C",1
"1","male",46,0,0,75.2417,"C",0
"1","male",54,0,0,51.8625,"S",0
"1","male",36,0,0,26.2875,"S",1
"1","male",28,1,0,82.1708,"C",0
"1","female",36.7716981124943,1,0,82.1708,"C",1
"1","male",65,0,0,26.55,"S",0
"1","male",44,2,0,90,"Q",0
"1","female",33,1,0,90,"Q",1
"1","female",37,1,0,90,"Q",1
"1","male",30,1,0,57.75,"C",1
"1","male",55,0,0,30.5,"S",0
"1","male",47,0,0,42.4,"S",0
"1","male",37,0,1,29.7,"C",0
"1","female",31,1,0,113.275,"C",1
"1","female",23,1,0,113.275,"C",1
"1","male",58,0,2,113.275,"C",0
"1","female",19,0,2,26.2833,"S",1
"1","male",64,0,0,26,"S",0
"1","female",39,0,0,108.9,"C",1
"1","male",39.6833622141977,0,0,25.7417,"C",1
"1","female",22,0,1,61.9792,"C",1
"1","male",65,0,1,61.9792,"C",0
"1","male",28.5,0,0,27.7208,"C",0
"1","male",41.6349505131002,0,0,0,"S",0
"1","male",45.5,0,0,28.5,"S",0
"1","male",23,0,0,93.5,"S",0
"1","male",29,1,0,66.6,"S",0
"1","female",22,1,0,66.6,"S",1
"1","male",18,1,0,108.9,"C",0
"1","female",17,1,0,108.9,"C",1
"1","female",30,0,0,93.5,"S",1
"1","male",52,0,0,30.5,"S",1
"1","male",47,0,0,52,"S",0
"1","female",56,0,1,83.1583,"C",1
"1","male",38,0,0,0,"S",0
"1","male",38.1069583388081,0,0,39.6,"S",1
"1","male",22,0,0,135.6333,"C",0
"1","male",37.3362809411158,0,0,227.525,"C",0
"1","female",43,0,1,211.3375,"S",1
"1","male",31,0,0,50.4958,"S",0
"1","male",45,0,0,26.55,"S",1
"1","male",42.3828515571747,0,0,50,"S",0
"1","female",33,0,0,27.7208,"C",1
"1","male",46,0,0,79.2,"C",0
"1","male",36,0,0,40.125,"C",0
"1","female",33,0,0,86.5,"S",1
"1","male",55,1,0,59.4,"C",0
"1","female",54,1,0,59.4,"C",1
"1","male",33,0,0,26.55,"S",0
"1","male",13,2,2,262.375,"C",1
"1","female",18,2,2,262.375,"C",1
"1","female",21,2,2,262.375,"C",1
